city,lat,lng
Santiago Ayuquililla,17.9342,-97.9581
Chalma,21.2167,-98.4
San Baltazar Chichicapam,16.7667,-96.4833
Texcaltitlan,18.9297,-99.9372
Tamazula de Victoria,24.97,-106.9656
Villa Talea de Castro,17.3617,-96.2483
Valle de Zaragoza,27.4572,-105.8108
Lopez,27,-105.0333
Praxedis G. Guerrero,31.3728,-106.0056
Tampico Alto,22.1167,-97.8
San Andres Dinicuiti,17.6833,-97.7333
Tinum,20.7664,-88.3917
Bachiniva,28.7686,-107.2536
Balleza,26.95,-106.35
Temoris,27.2667,-108.25
Topia,25.2167,-106.5667
Mococha,21.1056,-89.4514
Camaron de Tejeda,19.0167,-96.6167
Chinipas,27.4,-108.5333
Villa Hidalgo,17.1833,-96.1833
Iturbide,24.7253,-99.9
Temosachic,28.9533,-107.8306
Aculco,20.0983,-99.8269
Moris,28.1492,-108.5194
Julimes,28.4333,-105.4
Namiquipa,29.2503,-107.4092
San Francisco del Mezquital,23.4733,-104.3958
Aconchi,29.8167,-110.2167
Telchac Puerto,21.35,-89.2667
San Juan de Guadalupe,24.6167,-102.7667
Matachi,28.8431,-107.7556
Candela,26.8333,-100.6667
Carichi,27.9167,-107.05
La Cruz,27.8639,-105.1964
Hidalgo,27.7911,-99.8742
Momax,21.9333,-103.3167
Santo Domingo de Morelos,15.833,-96.6681
San Luis del Cordero,25.4167,-104.2667
Chiconamel,21.2333,-98.45
San Jose Ayuquila,17.9408,-97.9692
Apulco,21.3833,-102.6667
Zapotitlan Palmas,17.8889,-97.8178
Real de Catorce,23.6897,-100.8875
Bustamante,23.4353,-99.7569
San Jeronimo Silacayoapilla,17.8086,-97.8456
Santa Isabel,28.3422,-106.3683
Coahuayutla de Guerrero,18.3167,-101.8167
General Simon Bolivar,24.6833,-103.2167
Arivechi,28.9333,-109.1833
Nonoava,27.4667,-106.7333
Batopilas,27.0267,-107.7394
San Pedro Taviche,16.6364,-96.5372
Uruachi,27.8672,-108.2158
Cotaxtla,18.8333,-96.3833
Jimenez,29.0697,-100.675
